"name","plataform","metascore","metascore_reviews","userscore","userscore_reviews","release","genre","genero_principal","metascore_norm","metascore_cat","userscore_cat","diff_m_u","diff_m_u_abs","exclusivo"
"Oddworld: Abe's Oddysee - New 'n' Tasty","PlayStation 4",84,50,7.8,354,2014-07-22,"Platformer/2D/Action/Platformer/2D","Platformer",8.4,"ALTO","ALTO",0.600000000000001,0.600000000000001,1
"Hitman","PlayStation 4",84,40,7.7,333,2016-10-31,"Modern/Action Adventure/General","Modern",8.4,"ALTO","ALTO",0.7,0.7,1
"Trine 2: Complete Story","PlayStation 4",84,9,7.6,342,2013-11-15,"Platformer/2D/Action/Platformer/2D","Platformer",8.4,"ALTO","ALTO",0.800000000000001,0.800000000000001,1
"Assassin's Creed Origins: The Curse of the Pharaohs","PlayStation 4",83,15,7.6,138,2018-03-13,"Action Adventure/Open-World","Action Adventure",8.3,"ALTO","ALTO",0.700000000000001,0.700000000000001,1
"Disgaea 1 Complete","PlayStation 4",83,8,7.5,53,2018-10-09,"Strategy/Turn-Based/Tactics","Strategy",8.3,"ALTO","ALTO",0.800000000000001,0.800000000000001,1
"FAR: Lone Sails","PlayStation 4",83,8,5.4,9,2019-04-02,"Action/Platformer/2D","Action",8.3,"ALTO","MEDIO",2.9,2.9,1
"Assassin's Creed IV: Black Flag","PlayStation 4",83,29,7.9,2258,2013-11-12,"Action Adventure/Historic/Historic/Open-World","Action Adventure",8.3,"ALTO","ALTO",0.4,0.4,1
"Darkest Dungeon","PlayStation 4",83,16,7.8,155,2016-09-27,"Role-Playing/General","Role-Playing",8.3,"ALTO","ALTO",0.500000000000001,0.500000000000001,1
"Puyo Puyo Tetris","PlayStation 4",83,16,7.3,54,2017-04-25,"Puzzle/Stacking","Puzzle",8.3,"ALTO","MEDIO",1,1,1
"Call of Duty: Modern Warfare Remastered","PlayStation 4",83,27,7.1,557,2016-11-04,"Arcade/Action/Shooter/First-Person/Tactical","Arcade",8.3,"ALTO","MEDIO",1.2,1.2,1
"ZEN Pinball 2: Portal Pinball","PlayStation 4",83,8,4.9,14,2015-05-26,"Action/Pinball","Action",8.3,"ALTO","BAIXO",3.4,3.4,1
"Dragon Quest Builders","PlayStation 4",83,76,8.1,225,2016-10-11,"Action Adventure/Sandbox","Action Adventure",8.3,"ALTO","ALTO",0.200000000000001,0.200000000000001,1
"Transistor","PlayStation 4",83,57,8.2,649,2014-05-20,"Role-Playing/Action RPG/Action RPG","Role-Playing",8.3,"ALTO","ALTO",0.100000000000001,0.100000000000001,1
"The Yakuza Remastered Collection","PlayStation 4",83,21,7.5,22,2019-08-20,"Miscellaneous/Compilation","Miscellaneous",8.3,"ALTO","ALTO",0.800000000000001,0.800000000000001,1
"Yakuza 6: The Song of Life","PlayStation 4",83,91,8.3,403,2018-04-17,"Action Adventure/Open-World","Action Adventure",8.3,"ALTO","ALTO",0,0,1
"The Swapper","PlayStation 4",83,28,7.6,214,2014-08-05,"Action/Platformer/2D","Action",8.3,"ALTO","ALTO",0.700000000000001,0.700000000000001,1
"LEGO Marvel Super Heroes","PlayStation 4",83,22,7.7,352,2013-11-15,"Action Adventure/Fantasy/General/Fantasy/Open-World","Action Adventure",8.3,"ALTO","ALTO",0.600000000000001,0.600000000000001,1
"No Man's Sky Beyond","PlayStation 4",83,9,8.3,147,2019-08-14,"Action Adventure/Open-World","Action Adventure",8.3,"ALTO","ALTO",0,0,1
"Sayonara Wild Hearts","PlayStation 4",83,16,6.4,42,2019-09-19,"Action/Rhythm/Music","Action",8.3,"ALTO","MEDIO",1.9,1.9,1
"MLB 14: The Show","PlayStation 4",83,17,7.6,212,2014-05-06,"Sports/Traditional/Team/Baseball/Sim/Sim","Sports",8.3,"ALTO","ALTO",0.700000000000001,0.700000000000001,1
"Danganronpa 1-2 Reload","PlayStation 4",83,29,8.3,120,2017-03-14,"Miscellaneous/Compilation","Miscellaneous",8.3,"ALTO","ALTO",0,0,1
"Horizon Zero Dawn: The Frozen Wilds","PlayStation 4",83,70,7.9,698,2017-11-07,"Role-Playing/Action RPG","Role-Playing",8.3,"ALTO","ALTO",0.4,0.4,1
"Detention","PlayStation 4",83,12,7.4,28,2017-10-03,"Adventure/General","Adventure",8.3,"ALTO","MEDIO",0.9,0.9,1
"SteamWorld Heist","PlayStation 4",83,9,7.2,45,2016-06-07,"Strategy/Turn-Based/General","Strategy",8.3,"ALTO","MEDIO",1.1,1.1,1
"Tales From The Borderlands: Episode 3 - Catch A Ride","PlayStation 4",83,12,7.3,81,2015-06-23,"Adventure/General","Adventure",8.3,"ALTO","MEDIO",1,1,1
"Iconoclasts","PlayStation 4",83,23,6.9,61,2018-01-23,"Action Adventure/Open-World","Action Adventure",8.3,"ALTO","MEDIO",1.4,1.4,1
"ZEN Pinball 2: The Walking Dead","PlayStation 4",83,7,6,19,2014-08-26,"Action/Miscellaneous/Parlor/Pinball","Action",8.3,"ALTO","MEDIO",2.3,2.3,1
"Nuclear Throne","PlayStation 4",82,14,6.3,48,2015-12-05,"General/Action/General/Shooter/Shoot-'Em-Up/Top-Down","General",8.2,"ALTO","MEDIO",1.9,1.9,1
"The Pinball Arcade","PlayStation 4",82,16,6.8,84,2013-12-17,"Action/Miscellaneous/Parlor/Pinball/Pinball","Action",8.2,"ALTO","MEDIO",1.4,1.4,1
"Dark Souls III: The Ringed City","PlayStation 4",82,28,8.3,233,2017-03-28,"Role-Playing/Action RPG","Role-Playing",8.2,"ALTO","ALTO",-0.100000000000001,0.100000000000001,1
"I Expect You To Die","PlayStation 4",82,17,7.6,56,2016-12-13,"Adventure/3D/First-Person","Adventure",8.2,"ALTO","ALTO",0.6,0.6,1
"Sairento VR","PlayStation 4",82,17,6.5,24,2019-07-10,"Action/Shooter/Light Gun","Action",8.2,"ALTO","MEDIO",1.7,1.7,1
"Galak-Z: The Dimensional","PlayStation 4",82,42,7.1,138,2015-08-04,"General/Shooter/Scrolling/Scrolling/Action/Shooter/Shoot-'Em-Up/Vertical","General",8.2,"ALTO","MEDIO",1.1,1.1,1
"Sportsfriends","PlayStation 4",82,21,6.3,86,2014-05-06,"Sports/Miscellaneous/General/Party/Party / Minigame","Sports",8.2,"ALTO","MEDIO",1.9,1.9,1
"Death Stranding","PlayStation 4",82,111,7.3,17038,2019-11-08,"Action/General","Action",8.2,"ALTO","MEDIO",0.899999999999999,0.899999999999999,1
"Skullgirls: 2nd Encore","PlayStation 4",82,18,7.3,50,2015-07-07,"Action/Fighting/2D","Action",8.2,"ALTO","MEDIO",0.899999999999999,0.899999999999999,1
"Invisible Inc. Console Edition","PlayStation 4",82,14,6.9,45,2016-04-19,"General/Strategy/Turn-Based/Tactics","General",8.2,"ALTO","MEDIO",1.3,1.3,1
"GRIS","PlayStation 4",82,7,8,117,2019-11-26,"Action/Platformer/2D","Action",8.2,"ALTO","ALTO",0.199999999999999,0.199999999999999,1
"Enter the Gungeon","PlayStation 4",82,33,7.7,120,2016-04-05,"Action/General/Shooter/Shoot-'Em-Up/Top-Down","Action",8.2,"ALTO","ALTO",0.499999999999999,0.499999999999999,1
