"name","plataform","metascore","metascore_reviews","userscore","userscore_reviews","release","genre","genero_principal","metascore_norm","metascore_cat","userscore_cat","diff_m_u","diff_m_u_abs","exclusivo"
"Life is Strange: Episode 5 - Polarized","PlayStation 4",81,30,8.3,276,2015-10-20,"Action Adventure/General","Action Adventure",8.1,"ALTO","ALTO",-0.200000000000001,0.200000000000001,0
"Life is Strange: Episode 4 - Dark Room","PlayStation 4",81,33,8.4,273,2015-07-28,"Action Adventure/General","Action Adventure",8.1,"ALTO","ALTO",-0.300000000000001,0.300000000000001,0
"Samurai Shodown","PlayStation 4",81,53,7.8,74,2019-06-25,"Action/Fighting/2D","Action",8.1,"ALTO","ALTO",0.3,0.3,0
"Life is Strange 2: Episode 1 - Roads","PlayStation 4",81,38,6.3,165,2018-09-27,"Action Adventure/General","Action Adventure",8.1,"ALTO","MEDIO",1.8,1.8,0
"Final Fantasy XV","PlayStation 4",81,109,7.6,4518,2016-11-29,"Action RPG/Role-Playing/Action RPG","Action RPG",8.1,"ALTO","ALTO",0.5,0.5,0
"Assassin's Creed Origins","PlayStation 4",81,63,7.2,2686,2017-10-27,"Action Adventure/Open-World","Action Adventure",8.1,"ALTO","MEDIO",0.899999999999999,0.899999999999999,0
"Minit","PlayStation 4",81,27,6.8,24,2018-04-03,"Adventure/General","Adventure",8.1,"ALTO","MEDIO",1.3,1.3,0
"Moonlighter","PlayStation 4",81,28,7.3,92,2018-05-29,"Role-Playing/Action RPG","Role-Playing",8.1,"ALTO","MEDIO",0.8,0.8,0
"Far Cry 5","PlayStation 4",81,83,6.7,1772,2018-03-27,"Action/Shooter/First-Person/Arcade","Action",8.1,"ALTO","MEDIO",1.4,1.4,0
"The Vanishing of Ethan Carter","PlayStation 4",81,33,7.4,178,2015-07-14,"Miscellaneous/General/Adventure/3D/First-Person","Miscellaneous",8.1,"ALTO","MEDIO",0.699999999999999,0.699999999999999,0
"Sine Mora EX","PlayStation 4",81,18,7.2,19,2017-08-08,"Action/Shooter/Shoot-'Em-Up/Horizontal","Action",8.1,"ALTO","MEDIO",0.899999999999999,0.899999999999999,0
"Tales of Vesperia: Definitive Edition","PlayStation 4",81,34,7.4,113,2019-01-11,"Role-Playing/Action RPG","Role-Playing",8.1,"ALTO","MEDIO",0.699999999999999,0.699999999999999,0
"Redout","PlayStation 4",81,11,7.5,30,2017-08-29,"Racing/Arcade/Futuristic","Racing",8.1,"ALTO","ALTO",0.6,0.6,0
"Call of Duty: Black Ops III","PlayStation 4",81,87,4.9,2470,2015-11-06,"Action/Shooter/First-Person/Arcade","Action",8.1,"ALTO","BAIXO",3.2,3.2,0
"Darksiders: Warmastered Edition","PlayStation 4",81,12,7.7,146,2016-11-22,"Action Adventure/Open-World","Action Adventure",8.1,"ALTO","ALTO",0.399999999999999,0.399999999999999,0
"Watch Dogs","PlayStation 4",80,80,6.4,3422,2014-05-27,"Modern/Action Adventure/General/Modern/Open-World","Modern",8,"ALTO","MEDIO",1.6,1.6,0
"NBA 2K18","PlayStation 4",80,54,1.7,721,2017-09-15,"Arcade/Sports/Team/Basketball/Sim","Arcade",8,"ALTO","BAIXO",6.3,6.3,0
"Subnautica","PlayStation 4",80,18,7.4,109,2018-12-04,"Adventure/General","Adventure",8,"ALTO","MEDIO",0.6,0.6,0
